"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"48","경기도 이천시 설성면 대죽리","5**","단독","8m미만","141.54","346.00","202504","30","10,500","개인","개인","2008","대죽로","-","중개거래","경기 이천시"
"49","경기도 가평군 상면 임초리","1**","단독","8m미만","135.36","942.00","202504","30","38,822","개인","개인","2014","임초밤안골로","-","중개거래","경기 가평군"
"50","경상북도 영주시 문수면 적동리","1**","단독","8m미만","56.50","439.00","202504","30","4,100","개인","개인","1945","문수로","-","직거래","-"
"51","경상남도 함양군 서하면 송계리","8**","단독","8m미만","41.46","119.00","202504","30","6,500","개인","개인","2014","송계앞길","-","직거래","-"
"52","강원특별자치도 횡성군 횡성읍 내지리","2**","단독","8m미만","106.90","1034.00","202504","30","8,318","개인","개인","2017","섬강로325번길","-","직거래","-"
"53","전북특별자치도 익산시 오산면 오산리","9**","단독","8m미만","42.00","423.00","202504","30","3,100","개인","개인","","모산길","-","직거래","-"
"54","경기도 하남시 덕풍동","4**","단독","8m미만","140.81","139.00","202504","30","60,000","개인","개인","1980","덕풍공원로93번길","-","직거래","-"
"55","경기도 화성시 장안면 장안리","1***","단독","8m미만","86.71","331.00","202504","30","17,000","개인","개인","2015","온수골2길","-","직거래","-"
"56","충청남도 서산시 석남동","1*","단독","8m미만","121.50","202.00","202504","30","15,500","개인","개인","1988","한마음5로","-","직거래","-"
"57","경상남도 창원시 성산구 신월동","5*","다가구","12m미만","233.73","249.00","202504","30","52,500","개인","개인","2005","신월로6번길","-","중개거래","경남 창원시 성산구"
"58","서울특별시 동작구 노량진동","2**","다가구","8m미만","109.62","76.00","202504","30","178,000","개인","개인","1991","장승배기로27길","-","중개거래","서울 동작구"
"59","강원특별자치도 평창군 대화면 대화리","4**","단독","8m미만","43.23","506.00","202504","30","13,800","개인","개인","1954","대화중앙2길","-","직거래","-"
"60","경상남도 창원시 마산합포구 진동면 진동리","4**","단독","8m미만","122.20","183.00","202504","30","10,000","개인","개인","1998","성산길","-","직거래","-"
"61","전북특별자치도 군산시 장재동","4*","단독","8m미만","78.68","97.80","202504","30","3,500","개인","개인","1968","풍문안2길","-","직거래","-"
"62","인천광역시 옹진군 영흥면 선재리","1**","단독","8m미만","29.68","105.00","202504","30","7,000","개인","개인","1955","선재로34번길","-","중개거래","인천 옹진군"
"63","경기도 양평군 용문면 다문리","4**","단독","-","117.34","290.00","202504","30","30,200","개인","개인","2024","","-","직거래","-"
"64","전북특별자치도 익산시 망성면 무형리","8*","단독","8m미만","99.40","165.00","202504","30","5,000","개인","개인","","신용길","-","직거래","-"
"65","경상북도 경주시 도지동","9**","단독","8m미만","40.81","210.00","202504","30","3,000","개인","개인","2013","원마을1길","-","직거래","-"
"66","충청북도 영동군 매곡면 강진리","1**","단독","8m미만","148.03","893.00","202504","30","38,000","개인","법인","2007","개춘2길","-","직거래","-"
"67","경상북도 김천시 농소면 월곡리","7**","단독","8m미만","145.05","424.00","202504","30","17,000","개인","개인","1981","월곡길","-","중개거래","경북 김천시"
"68","경기도 성남시 수정구 태평동","1***","단독","8m미만","84.00","64.50","202504","30","29,500","개인","개인","1981","시민로255번길","-","중개거래","경기 광주시, 경기 성남시 수정구"
"69","경기도 화성시 영천동","6**","단독","25m미만","358.16","240.00","202504","30","198,000","개인","개인","2016","지산2길","-","중개거래","경기 화성시"
"70","경기도 안성시 금산동","1**","단독","8m미만","367.24","212.40","202504","30","64,000","개인","개인","1999","학자로","-","중개거래","경기 안성시"
"71","전북특별자치도 완주군 이서면 남계리","6**","단독","8m미만","55.73","547.00","202504","30","3,000","개인","개인","2013","대농금계길","-","중개거래","전북 전주시 완산구"
"72","서울특별시 용산구 용산동2가","4*","단독","8m미만","170.90","103.90","202504","30","120,000","개인","개인","1988","신흥로7길","-","중개거래","서울 용산구"
"73","경상남도 창원시 성산구 중앙동","6*","다가구","12m미만","424.10","284.80","202504","30","59,986","개인","개인","2015","외동반림로80번길","20250507","직거래","-"
"74","강원특별자치도 동해시 발한동","2**","단독","8m미만","108.00","202.50","202504","30","6,800","개인","개인","1990","지리1길","-","직거래","-"
"75","전북특별자치도 고창군 성내면 신성리","6**","단독","8m미만","55.10","545.00","202504","30","600","개인","개인","1933","당사동길","-","직거래","-"
"76","경상북도 봉화군 명호면 양곡리","6**","단독","8m미만","45.24","134.00","202504","30","1,900","개인","개인","1943","양곡길","-","직거래","-"
"77","경상북도 영덕군 지품면 삼화리","7*","단독","8m미만","56.34","256.00","202504","30","700","개인","개인","1991","삼화2길","-","직거래","-"
"78","충청북도 옥천군 안내면 용촌리","1**","단독","8m미만","57.65","298.00","202504","30","6,400","개인","개인","2014","안내회남로","-","직거래","-"
"79","경상북도 영덕군 남정면 회리","5*","단독","8m미만","69.10","982.00","202504","30","4,400","개인","개인","1962","회리1길","-","직거래","-"
"80","경상북도 영덕군 병곡면 사천리","2**","단독","8m미만","85.14","658.00","202504","30","18,500","개인","개인","2017","사천길","-","직거래","-"
"81","전북특별자치도 김제시 죽산면 죽산리","5**","단독","25m미만","97.85","246.00","202504","30","8,110","개인","개인","1997","죽산로","-","직거래","-"
"82","전라남도 무안군 청계면 청계리","1**","단독","8m미만","96.42","369.00","202504","30","9,800","개인","개인","1980","당재길","-","직거래","-"
"83","전라남도 화순군 동복면 신율리","6**","단독","8m미만","57.70","208.00","202504","30","700","개인","개인","1987","탑동길","-","직거래","-"
