video_id,comment_id,author,text,like_count,published_at
HAZbN8RD_wQ,UgwQHeGHn1Wy82eM-oB4AaABAg,@Arthur-nk7en,"오늘 한국시리그 끝내기 홈런 치신 김강민 선수
덕분에 알고리즘으로 이 영상을 보게 되니 더 욱긴데요 ㅋㅋㅋ",3,2022-11-07T16:50:50Z
HAZbN8RD_wQ,UgxVnnDc_s6FXo8YcVB4AaABAg,@참나무는참아라,2022년 11월 7일 김강민 한국시리즈 5차전 역전 끝내기 쓰리런 치다. 나이따!,4,2022-11-07T13:37:01Z
HAZbN8RD_wQ,UgwbKElicvEUKKV0UWN4AaABAg,@바람바람-b4z,김광민님 . 찐짜 잘 하시네요 최고에요  오늘 홈런 멋저요,0,2022-11-07T13:06:13Z
HAZbN8RD_wQ,Ugw1FqPAmRHYEr5TMnN4AaABAg,@랄프로렌-y2g,레알 보디빌더 김강민이다,2,2022-11-07T12:53:41Z
HAZbN8RD_wQ,UgxHTLZapi0fNtZ4xm14AaABAg,@youtoo-ck4rp,김강민사랑한다 시발ㅋㅋㅋ,6,2022-11-07T12:50:28Z
HAZbN8RD_wQ,Ugza1wnYO3PCv-Xl2QN4AaABAg,@jhkim395,강민이형 한국시리즈 9말 지금 홈런때림 대박 ㅋㅋㅋㅋㅋㅋㅋㅋ,7,2022-11-01T13:06:56Z
HAZbN8RD_wQ,UgxhFbQYMncQiZqy6YN4AaABAg,@소금꽃-y3f,잘 되는 팀은 이유가 있네,2,2022-10-03T04:52:15Z
HAZbN8RD_wQ,Ugwq6nzNVrYrtL3DDq94AaABAg,@프라모델-v6e,지훈이형 같은 광주일고 선배 지켜주네ㅋㅋ,2,2022-10-03T03:12:57Z
HAZbN8RD_wQ,Ugz27w-ALfyPeF9K9FB4AaABAg,@siririkak3603,야구팬 아닌 사람이 보면 존ㄴ ㅏ썩소 나오는 장면이군 ㅡㅡa 홈런친걸 축하해주는건데 개정색 ㅋㅋㅋ 아니긴 카메라가 개정색을 잡았는데 아니라고하네 ㅋㅋ 동료조차 저따위로 대하는데 팬한테 대하는것도 똑같았던거네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어휴,1,2022-09-17T00:01:06Z
HAZbN8RD_wQ,UgzzDEmWGvpov0owvLp4AaABAg,@재민송-m3d,50대 아저씨도 야구를 하네. 야구는 스포츠가 아니라 레져지,4,2022-09-07T13:40:51Z
HAZbN8RD_wQ,UgyCKe7CxCOKdluD1aF4AaABAg,@치킨박사님,사람 좋은 냄새가 여기까지 난다 ㅋㅋㅋㅋ,8,2022-08-06T13:27:12Z
HAZbN8RD_wQ,UgxeyF_ugCQeu3HB_FV4AaABAg,@김민정-j1b4d,정의윤씨 ㅋㅋㅋㅋ,3,2022-08-05T18:35:41Z
HAZbN8RD_wQ,Ugxjp-AIXWxYQ50NsH54AaABAg,@jeongyj0904,2:07,0,2022-06-23T16:44:58Z
HAZbN8RD_wQ,UgxgHTWoxzQbrqoOxOZ4AaABAg,@sisi8019,ㅋㅋ,0,2022-06-03T16:04:30Z
HAZbN8RD_wQ,Ugx6aohhgPWPOrR71_t4AaABAg,@안녕그대로걸어가-v4g,지금 다시 보니 조요한선수 체구도 좋고 막 150을 훌쩍 넘기는 살벌한 공을 던지는 분이 말투 너무 귀여워욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,21,2022-05-10T15:25:51Z
HAZbN8RD_wQ,UgwXtOSZcYVSJfcPWfJ4AaABAg,@Sparrowhawk75,강민이형 커트앵글 닮음ㅋㅋㅋ,3,2022-04-20T00:44:44Z
HAZbN8RD_wQ,UgytYRODdNUdj4x3ySJ4AaABAg,@잉잉-f3o,김강민 선수 성격 넘 좋은게 보인다,7,2022-04-18T19:15:15Z
HAZbN8RD_wQ,Ugx0_hwKK01E8N3lqXt4AaABAg,@기쁨-m1q,오랜만에 영상 뜨길래 또봤는데 60만이나 봤네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시봐도 개웃김ㅋㅋㅋㅋ,4,2022-04-12T02:59:26Z
HAZbN8RD_wQ,UgyRr9ypyRZDC2OD57R4AaABAg,@버럭신신,김성현 순간 쫄아서 손 멈춘 거 봐라 ㅋㅋㅋ,6,2022-01-17T04:53:29Z
HAZbN8RD_wQ,UgwUGUThkpIV5mIQ7tV4AaABAg,@tkryu9364,성현이 대마이는 인정한다 ㅋㅋ 샌즈한테 가운데 손가락 날릴때도 상남자다 생각했다 ㅋㅋㅋ,6,2021-12-09T01:33:16Z
HAZbN8RD_wQ,UgyOoWlz6iTTY-sp9FV4AaABAg,@Sunny-ul6fe,슼 랜더스 선수들 너무 유쾌하고 화기애애해요ㅎㅎ,3,2021-12-07T06:21:35Z
HAZbN8RD_wQ,UgyTqxSCNA_Dw-barYl4AaABAg,@관우-q9i,은퇴후 개그 콤비?ㅋ,1,2021-11-12T08:27:57Z
HAZbN8RD_wQ,Ugxha9kQ8-BVAK_Wcvl4AaABAg,@世上的客旅,이 영상 너무 중독되는데^^,1,2021-10-31T02:42:56Z
HAZbN8RD_wQ,UgyzUDY-waAJj91-5dV4AaABAg,@delightfuleverymoments,5:23 유민호..?,3,2021-10-23T05:20:12Z
HAZbN8RD_wQ,UgyQTG1OgSxr_usz8h54AaABAg,@훈이-q2g,아기짐승도 개웃기넼ㅋ,1,2021-10-22T06:48:37Z
HAZbN8RD_wQ,Ugza8qNoU36nRzvKEnl4AaABAg,@이하-h7g,형 그냥 이야기를 써... ㅋㅋ,1,2021-10-08T13:36:40Z
HAZbN8RD_wQ,UgwuQ-UuzTMNN8QcYul4AaABAg,@찬-c2w,이거 자주생각나서 보러옴 영상ㅋㅋㅋ,1,2021-09-06T00:36:26Z
HAZbN8RD_wQ,UgzVr-iFhBLKhRzoeCR4AaABAg,@찬-c2w,정의윤선수 보자마자 신세계 그분 닮았어요,1,2021-09-06T00:32:36Z
HAZbN8RD_wQ,UgzwEBys1bQ4BLTs-5h4AaABAg,@팔칠이-c1c,ㅋㅋㅋㅋㅋ,1,2021-09-04T10:26:59Z
HAZbN8RD_wQ,UgwEUVx6rDIe8TBpiRd4AaABAg,@박석영-o9w,이거진짜 보면볼수록 재미나네 ㅋㅋ 열번은본듯,2,2021-08-14T05:32:29Z
HAZbN8RD_wQ,UgwSwmpR4FnZIBEBEWZ4AaABAg,@박재현-c8g,ㅋㅋㅋ,1,2021-08-12T14:56:23Z
HAZbN8RD_wQ,UgxFUsrQ1IfeURf0b0d4AaABAg,@샹크스-e7t,썸네일 강민이형 커트앵글 닮았음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2021-08-10T17:19:52Z
HAZbN8RD_wQ,UgyyHxiMVhtRSIq4oKN4AaABAg,@ksb5254,강민아재 요즘 쩐다 고조선 말이오,2,2021-07-27T03:24:05Z
HAZbN8RD_wQ,UgyjqHujraRfd_5RdyN4AaABAg,@성현권-f7u,저건 코털을 건드린게 아니라 코털을 뽑은거임,4,2021-07-22T04:10:09Z
HAZbN8RD_wQ,UgwZfVSOls648yiLuux4AaABAg,@숩-c7r,세상에나 조회수 머선129,5,2021-07-21T18:04:21Z
HAZbN8RD_wQ,UgwiikGq-fz_nGnNAQR4AaABAg,@GreenCity5513,2:08,4,2021-07-20T08:23:06Z
HAZbN8RD_wQ,UgzUZfgAwy-bpYegNWd4AaABAg,@꼬북칩-d7h,아 이건 봐도봐도 꿀잼이네 ㅋㅋ,2,2021-07-19T11:32:13Z
HAZbN8RD_wQ,UgzMu7r1fhVmVlohjQV4AaABAg,@김꺽정-b7y,7푼아!!!! 머리는 때리지마라!!!,0,2021-07-14T23:57:24Z
HAZbN8RD_wQ,UgwhLMq_uO9v2aGMQ6F4AaABAg,@yd01077,1:15 이말하는거 자체가 원래 엄청 친하다는건데,125,2021-07-14T15:39:52Z
HAZbN8RD_wQ,Ugzax44pL-Zm0VXhsKZ4AaABAg,@user-kg7tc8vo4t,"부산의 자랑 센스쟁이 심호준!!
야구의 신으로 거듭나길~~
많은 기대걸고 보고있다~
아자아자 부산 사나이 심호준 화이팅 가즈아~~^^",1,2021-07-14T07:18:16Z
HAZbN8RD_wQ,Ugw_Uv7zwsj7hILpV8N4AaABAg,@omi5152,김성현 야구계의 깐족이구만.....ㅋㅎㅋ,1,2021-07-14T05:05:07Z
HAZbN8RD_wQ,UgyJOyJar77qjG7f4XB4AaABAg,@cho7273,김강민 선수의 나이가 한국프로야구와  동갑 이네요.,0,2021-07-14T02:09:49Z
HAZbN8RD_wQ,UgzsXbkMO7CvlinG2A54AaABAg,@kenikang,이런 콘셉 너무 좋네요,4,2021-07-12T12:28:46Z
HAZbN8RD_wQ,UgxzEyJpYe2u5Bm9j9d4AaABAg,@문학하는여인,카메라때매 살앗다카면서 어떻게든 피해갈라카능게 더 짜봘난다..씌이...죠져삐릐~,0,2021-07-12T03:35:16Z
