word,count
져서,2
초전,2
사진,2
정리,2
루팡,2
디아,2
동안,2
추가,2
블로킹,2
주목,2
논란,2
현무,2
공장장,2
감상,2
린다,2
짜증,2
케이시,2
절대,2
타구,2
릭터,2
담장,2
끄집어냈,2
볼트,2
집중력,2
디야,2
헤라,2
잠실,2
총출동,2
대열,2
라디아,2
의지,2
철망,2
합류,2
통일,2
추억,2
놓치,2
좌우,2
새외,2
번복,2
수추,2
내요,2
와우,2
리얼,2
전성기,2
손목,2
류제국,2
강정호,2
최민준,2
화난,2
친절,2
난리,2
염경엽,2
수산,2
던져서,2
츄츄,2
타가,1
건지,1
탄력,1
써야,1
태그,1
해야지,1
건져냈,1
해설자,1
우와,1
구사,1
축구,1
들어간,1
봐야,1
오버런,1
군대,1
서열,1
조폭,1
공전,1
마우스피스,1
인하,1
승모,1
몇일,1
뒤지,1
등판,1
에릭,1
고기,1
지우,1
피지컬,1
혼난다,1
고처,1
포수,1
시간제한,1
빨라,1
뜰채,1
중앙,1
리거,1
게이,1
간발,1
신식,1
생김,1
까치,1
바꾸,1
기술,1
비판,1
아리,1
노경은,1
돌아보,1
리들,1
꼴리,1
어쩔,1
들어와도,1
볼거리,1
엘지,1
올립니다,1
류현진,1
머시,1
적극,1
상실,1
겁대가리,1
어려운,1
반칙,1
낭창,1
타율,1
위고,1
중요,1
복덩이,1
데려왔,1
면했,1
바가지,1
점프력,1
우수,1
펜스,1
부딪히,1
자빠지,1
다임,1
재수,1
없애,1
한느,1
처맞,1
올린,1
해결사,1
경우,1
풀어내,1
잡아내,1
동양인,1
걸렸,1
이대형,1
주작,1
해설,1
바람,1
잘린,1
궁금해하,1
지속,1
돌려도,1
역사,1
찬스,1
응의,1
일본식,1
바꿔,1
나름,1
아내,1
열일,1
필드,1
김선빈,1
ATP,1
이끌,1
예정,1
대단,1
블락,1
줘야,1
아깝,1
무릎,1
너모,1
훔친,1
감옥행,1
전준우,1
쳐다봄,1
임타,1
수명,1
데려와야,1
후일담,1
동작,1
롤라,1
호수,1
비지,1
널렸,1
이숭용,1
던짐,1
고맙,1
똑딱이,1
평생,1
데리,1
장기,1
해진,1
뼛속,1
끄집,1
족대,1
삭제,1
인연,1
민수,1
여운,1
마니,1
광기,1
야신,1
현신,1
사냥감,1
포착,1
점프,1
흑표범,1
지후,1
바부,1
불낙,1
직관,1
보물,1
에렝,1
대기,1
손짓,1
쌓이,1
필요,1
니기,1
말년,1
더그아웃,1
슬프,1
대인배,1
현장,1
능력자,1
놓쳤,1
지배,1
김건우,1
헤드샷,1
택하,1
옆눈,1
돔구장,1
초이,1
월척,1
아버지,1
송도,1
포구,1
저장,1
개귀,1
차단,1
계약,1
만요,1
훔치,1
가실,1
집념,1
여권,1
숨겨,1
경지,1
작음,1
이벤트,1
대리,1
빨개,1
개모,1
무리,1
선출,1
프런트,1
작아져,1
느꼈,1
순하,1
맞추,1
뜨겁,1
잡힌,1
뭉칠,1
칭찬,1
잡친다,1
친해,1
세워놨,1
구여,1
날라가,1
우발,1
난신적자,1
장지훈,1
놀라,1
져요,1
해야,1
계셔,1
노리,1
어이없,1
난식,1
잡치,1
나랑,1
네모,1
녀석,1
천재,1
깜빡이,1
피쳐,1
개꿀,1
들어갔,1
변해,1
키우,1
샷건,1
황희,1
마음,1
빠져,1
애기,1
니야,1
소리나,1
루수,1
가슴팍,1
던져야,1
합시다,1
수준,1
웅성,1
얼음,1
사무실,1
덤벼,1
쿠쿠,1
야구공,1
김광현,1
이로운,1
해피,1
연말,1
허세,1
곰돌이,1
다녀,1
감기,1
걸려서,1
랜디,1
자나,1
감탄,1
행사,1
야자,1
일루,1
맞짱,1
기회,1
싸움,1
어때요,1
엄청났,1
소속,1
악력,1
부서짐,1
반함,1
이태양,1
효천,1
계보,1
모여서,1
섭외,1
최유,1
한판,1
반전,1
음성,1
빠진다,1
앤더슨,1
모셔와,1
모단,1
식형,1
포티,1
흘렀,1
고조선,1
식은땀,1
건드린,1
성공,1
목적,1
만드실,1
헤어,1
부라림,1
도발,1
우울,1
현재,1
본방,1
타입,1
만드,1
매쉬,1
강스,1
베이스,1
타나,1
자신,1
김성형,1
MZ,1
다르,1
짧아진다,1
박영규,1
올라왔,1
슈퍼루키,1
순풍산부인과,1
이바,1
에피소드,1
후려치,1
며칠,1
도루,1
즉흥,1
식스,1
안다면,1
입장,1
무서워,1
더러워,1
병장,1
호봉,1
민준,1
베테랑,1
지켜보,1
타지,1
피해,1
또라인,1
다혈질,1
더러운,1
대인,1
어르신,1
괴팍,1
쳐다본다,1
웃긴데,1
책임지,1
부분,1
거듭나,1
사나이,1
가즈,1
깐족이,1
동갑,1
허리,1
군요,1
넘치,1
테스트,1
부탁드려요,1
모른다,1
적분,1
수습,1
개그,1
콤비,1
화내,1
유민호,1
큰일,1
목격자,1
살린,1
떡밥,1
경고,1
본리,1
멈춘,1
나쁜,1
대마,1
샌즈,1
가운데,1
존재감,1
시트콤,1
박이,1
깡패,1
레져,1
냄새,1
답변,1
조요,1
체구,1
던졌,1
방망이,1
왕복,1
귀때기,1
능청,1
문제,1
패전,1
봐야지,1
괴롭힌,1
한자,1
헤프,1
공개,1
무서운,1
지나갈,1
고장나,1
리액션,1
MIN,1
할려,1
혼났,1
복수,1
캐리,1
하드,1
유치원,1
일부,1
방망,1
놀려먹,1
할아버지,1
썼었,1
맨머리,1
쫄면,1
전라도,1
퇴근,1
방패,1
만능,1
학교,1
종욱,1
잡혀서,1
정의,1
윤임,1
심하,1
나무라,1
덕어,1
변하,1
숫자,1
버튼,1
주변,1
써요,1
대신,1
강화,1
연쇄,1
차기,1
조병현,1
구막,1
손꼽,1
얄미워,1
발생,1
빠지,1
동방예의지국,1
친다는,1
오지,1
시그,1
대피,1
아빠,1
아가,1
모먼트,1
증언,1
군용,1
이슈,1
쳤으면,1
어깨,1
달라지,1
말씀,1
완벽,1
대사,1
몸짓,1
처리,1
시선,1
삼다,1
본색,1
초의,1
영화,1
광주,1
지켜,1
공포,1
운동,1
자막,1
역이,1
기네,1
대체,1
짤방,1
국시,1
치신,1
친동생,1
역전,1
부사장,1
보디빌더,1
연기자,1
역활,1
동생,1
시켜서,1
짬밥,1
서스럼없,1
생겨서,1
봐온,1
오랫동안,1
한솥밥,1
즐거운,1
네영,1
처서,1
절뚝거리,1
다리,1
티나,1
차리,1
정신,1
와라,1
배워,1
집중,1
피부,1
유리베,1
탈피,1
꼰데기,1
가발,1
맞춰서,1
마라,1
해태,1
나쁜데,1
기둥,1
학살,1
양민,1
운동회,1
정해영,1
나영석,1
올림픽,1
뒤집,1
막판,1
고민,1
소용,1
겁줄,1
종자,1
공격,1
상대,1
유일,1
욕먹,1
노려볼,1
대권,1
휴지기,1
BJ,1
아프리카,1
잡혀,1
응원가,1
도시,1
공시,1
어떻,1
몰라도,1
쓴다고,1
친한,1
해맑,1
