playlist_id,playlist_title,published_at,item_count,video_ids,playlist_label
PL8_8tSGm7y1DRP-hD5I9cD_NxPalyChNF,It's Landing Time | 2022KS | 랜더스V5,2022-11-03T12:47:30.675212Z,26,"KXYpMbw4sNc, zy51av934ok, R7eiPpqrNKU, PCB470x4j3s, twCRnAaKyFg, 7ye5ar_rNSs, sy4IZHuS8BU, 6kud9dn1RGk, eOMJ-mxxb0I, gNmMRYvlpzA, QnDhFa6wEAc, NEpH81jTAwk, 4cRzHpHltgU, oQ-5DVtUo8c, BbJZOpUXAzY, 5YkFH3bFVec, oxqzNi5vEDk, FfMLRD1HIjU, Pe3eH-b5iFs, VQYIXe55jBE, o-vTdGFXtvk, HjQkgGkx4Aw, yZUnOZdN-yg, 6Y6KtHfiRaw, 2vOJLvZWp-I, nJ6nqsXYZok",playlist_21
PL8_8tSGm7y1ASCcz9evADTwOuUgcDMuPz,랜더스' 매드무비,2022-10-06T06:23:51.29202Z,17,"oXsuNsuDLBI, twCRnAaKyFg, 7ye5ar_rNSs, OMN6H0nB1zo, cmR8hghqqH4, XR0451vnsbc, _gzudaKWMt8, NG3-crNR55E, e9AQDmGd1wY, YM0fjIoLCms, kRVpOyVqHUc, hTmmyJOu5sI, zAllkRMftKw, 3fwj2OrnPBg, _Pvusso7xOo, Z77P2ZetzqY, w7X7Lj5q100",playlist_22
PL8_8tSGm7y1CQgY25vU9fxJNNfw1DAt-z,킹랑둥이♡ 쓱ଘ(੭˃ᴗ˂)주니어들,2022-08-30T07:26:10.601412Z,27,"HNMS9K0zsRA, drsq3gQ2vUc, yCTJ99tvwx8, FYZzsh5SwgQ, FQZNTgpzuV4, UYz-WAE1czk, KYuBf2k7IrE, dXvoVmqugBc, 49TXS6ePr_k, Iffr4B0iOq0, z0stF0CgIbs, g5ugmIKXRK8, plL9_vtVKSE, G4lAsq6MAh0, QLyaF0FmimA, TY2IjPDvrB4, VXMTy2A8doQ, BbATByWIQy4, NbnTQm00m1c, eMHonvy4-5g, fVFrW2Z0Dpk, haIUf34nFms, 1ZIBPurIOdU, kuEW5XzFH7Y, YCYdC7p5zQc, sJUbYJ89o6w, 5VgT29airIU",playlist_23
PL8_8tSGm7y1Cf6Q8CaOokALJISqw30W2I,2022☆ALL-STAR☆LANDERS,2022-07-19T11:28:20.704434Z,12,"drsq3gQ2vUc, XkNsoaF_bJo, KYuBf2k7IrE, CVI459LWmmM, BrELkS6V40k, _46pOjkUEyA, q05hSfFS8sI, wTFjXmpYVgQ, TKOJoTmTuFQ, LuIRwSjauxg, rk1Q51Yy2A4, 5jmHuKQASBM",playlist_24
PL8_8tSGm7y1BT1RyRTyE1yB8u6FO8nqo8,LANDERS' GAME LIVE,2022-06-08T05:44:35.649946Z,2,"XiQEMGEX5CI, GTxT8szEqzY",playlist_25
PL8_8tSGm7y1Aefgy13HxVYfVvuuo4iFNI,랜더스 22시즌 야수조 등장곡,2022-05-25T09:58:02.483909Z,20,,playlist_26
PL8_8tSGm7y1CrfNUCo4Rw3ySJTqo0LXic,♪랜더스 응원가♬,2022-05-05T05:23:23.084307Z,23,"SltBhxwbPhM, baseGQapOf0, ZBarm-3Tfwk, WrsS6mMl2jM, zX7uot4biaQ, SXmG6p_kLDY, rcTIpk3jbaQ, 7YESWbJPglg, M4rJyYD1iUc, VFAXYWfhF64, 0E-sK9chY-g, 7hFw7txNt1o, J20pI9ot6zY, gzJTK4dBpE8, JK2fSpUIt1I, TjQPOO26IOs, 1KOiY1iBxW0, OCsQU2T4JwE, rqm0DcFw6qQ, efr1OagAUtU, rlna-kEHy4c, LVhyO1Mvw1M, u_0PP8uoUEU",playlist_27
PL8_8tSGm7y1DPJKmvIY7cetiPjC4AExXy,♪LANDERS' PLAYLIST♫,2022-05-01T03:39:48.571414Z,5,"EZNi_NfWlqI, FqUmYTs5OF8, zpBfxc7Ak24, Ym_90BCLmCE, RtCoKAkX1js",playlist_28
PL8_8tSGm7y1C9F7JYExNm8XilR6vcn3Hc,2022 LANDERS' [덕캠],2022-04-29T12:53:54.459245Z,30,"BbJZOpUXAzY, 5YkFH3bFVec, VQYIXe55jBE, ERiGVLmQE6w, zTDO2GVzs3I, cMYQTvjKvhk, wh8FoJWmPOw, WZBw1EPUdXI, YCYdC7p5zQc, Li1n6GqXUn0, 94xhzO7YKgo, 9uPI2gxY7gY, evdmIwg4WVE, jiR5fm4Oq9w, aYi1GQj1AC0, 9l7i-GhiLco, 3G5qS15Fbak, OB00nNuk5Ls, gktAXAhOF2g, vkFvZBaDM7Y, bXkqgmsCNYU, wIQ7oTanlug, VrTrtwF1lkQ, pAiXePkssX4, 73SzQe0nNos, XJ-WFk6QsVw, nSZjiO4pgw4, 355YRf_J1UY, _wJkaFFkbzc, YphHyDEQLMw",playlist_29
PL8_8tSGm7y1At2gbizov-_pNVNepBUL9i,2022 랜필 에피소드,2022-04-25T04:49:37.251264Z,29,"2yHvX6s66vs, 0nD3-4_X5FQ, Iffr4B0iOq0, Ix9qQQKERIw, MtUR5w7C1OY, PUvRQrApwvE, T2o1yjUNs3g, Chd805msslw, _XIgO6-3_Xw, hab_Q4mW544, MgUAqVQsyf8, _lKWW6osLH8, ApZSPcbhALI, vFJej71tnDU, 9F1RUx_-3Nw, SImpauoYfh4, tw4rQD-aqCI, T0TusKD9NJk, -fACHDskMQU, xQbMIiZRwro, N4G2TYJY8as, cL3vsNYgvIU, M19ybPF5PTk, Irxh06fCaGk, ycHLNTtvpFs, RXkZSlGTf0g, Ma27lI0yfh8, wvaGKxV310k, q8knIbTzp6U",playlist_30
